sentence,label,datatype,title,publication_date,file_id,-1,Profit,Dividend,MergerAcquisition,SalesVolume,BuyRating,QuarterlyResults,TargetPrice,ShareRepurchase,Turnover,Debt
"Following an agreed sale , Vodafone could make an offer for Ono , the Spanish cable operator , or Swisscom 's Fastweb in Italy , some analysts believe .",-1,holdin,hard to call size of vodafone payout,2-09-2013,657,1,0,0,0,0,0,0,0,0,0,0
"This quarter it reported margins of 14.8 per cent , 80 basis points lower than the same period a year earlier .",['Profit'],holdin,unilever investors welcome surprise food producers,3-11-2006,17,0,1,0,0,0,0,0,0,0,0,0
"Julian Hardwick , analyst at ABN Amro , said : "" The margin performance was very disappointing . """,['Profit'],holdin,unilever disappoints as margins decline,4-08-2006,580,0,1,0,0,0,0,0,0,0,0,0
"For shareholders , this "" seems a fair trade "" given that the cost savings from cutting cabin staff would be pound(s)100m per annum , it said .",-1,holdin,barclays under pressure as banks lead footsie lower,16-12-2009,586,1,0,0,0,0,0,0,0,0,0,0
"FERC , which declined to comment , has this year fined Constellation Energy , a utility company , a record $245m for power market manipulation .",-1,holdin,barclays faces fresh blow as us energy watchdog eyes $100m fine,1-11-2012,321,1,0,0,0,0,0,0,0,0,0,0
Time will tell .,-1,holdin,unilever,10-02-2006,527,1,0,0,0,0,0,0,0,0,0,0
"The transaction , which has yet to close , includes the assumption of some debt .",-1,holdin,vodafone forecasts verizon dividend,26-03-2008,882,1,0,0,0,0,0,0,0,0,0,0
"Andrew Liveris , chief executive of Dow , noted "" ongoing volatility in the pace of global economic recovery , "" but said the company was prepared for "" jagged economic conditions over the near term "" .",-1,holdin,results lift dow chemical and basf,28-10-2011,594,1,0,0,0,0,0,0,0,0,0,0
Analysts and investors nevertheless reacted with caution to Mr Clarke 's plan .,-1,holdin,"misfortunes aside, tesco chief is no lemony snicket",21-04-2012,733,1,0,0,0,0,0,0,0,0,0,0
"Both deals also carry heavy penalties so that if either bank does not repay the paper at the first available date in 10-years ' time , they will face a steep step-up in their interest costs .",-1,holdin,sale of barclays notes shows life in subordinates,4-06-2009,71,1,0,0,0,0,0,0,0,0,0,0
"Jac Nasser , BHP 's chairman , this month said that the mining industry now has "" more projects than cash flows .",-1,holdin,FT other BHP,31-05-2012,979,1,0,0,0,0,0,0,0,0,0,0
"Like its peers , Pernod Ricard has ridden the wave of Chinese demand for Scotch and Cognac , reporting organic growth in the country of 18 per cent in the first half .",-1,holdin,unilever suffers europe sales fall,26-04-2013,29,1,0,0,0,0,0,0,0,0,0,0
"Biggest movers , Page Small caps report : www.ft.com / equities",-1,holdin,vodafone misses out on big footsie gains,11-05-2011,851,1,0,0,0,0,0,0,0,0,0,0
""" That 's a very diverse team . """,-1,holdin,unilever to broaden mix of board food producers,24-06-2006,569,1,0,0,0,0,0,0,0,0,0,0
"Jurgen Hambrecht , chief executive , said : "" Clearly we believe that this will lead them to facilitate the BASF offer and terminate Engelhard 's proposed leveraged recapitalisation and 20 per cent share buy-back . """,-1,holdin,basf stays firm on bid for catalyst group chemicals,2-05-2006,926,1,0,0,0,0,0,0,0,0,0,0
The bank predicted it would take six years for absolute demand in the sector to return to 2007-08 levels and said that companies exposed to power generation or gas prices were in the weakest position .,-1,holdin,basf sets the pace as bourses advance,15-10-2009,128,1,0,0,0,0,0,0,0,0,0,0
"Tesco 's online division , which includes the first-time contribution of Tesco Direct , also saw strong growth , with sales up more than 30 per cent to Pounds 150m .",['SalesVolume'],holdin,tesco christmas sales up 5.9% *organic foods boost uk's biggest retail chain*demand for premium rang,17-01-2007,779,0,0,0,0,1,0,0,0,0,0,0
"Aquarius Platinum broke an 11-day losing streak , up 8.7 per cent to 74p .",-1,holdin,tesco pushed to three-year low after customers shop elsewhere,29-05-2012,9,1,0,0,0,0,0,0,0,0,0,0
"Merrill saw Vodafone 's dividend as secure and played down concerns about price deflation , arguing that pricing remained firm in the US market , which provides about half of Vodafone 's earnings .",['Dividend'],holdin,barclays threatens weak start to earnings season as ftse 100 stalls,7-02-2012,928,0,0,1,0,0,0,0,0,0,0,0
"In his speech to the Australian Institute of Company Directors , Mr Nasser criticised the ruling Labor government for tinkering with the tax regime .",-1,holdin,FT other BHP,16-05-2012,907,1,0,0,0,0,0,0,0,0,0,0
"Direct Line 's strong market position was already reflected in its valuation and , while restructuring would release additional value , investors will need to wait for results to gain confidence in the story .",-1,holdin,bhp suffers in falling market as analysts criticise investment plans,24-10-2012,14,1,0,0,0,0,0,0,0,0,0,0
Investors in Anglo-Australian BHP and Rio can count on earnings uplifts from the strong resurgence in industrial metal prices that gained pace throughout the six months to December .,['Profit'],holdin,bhp and rio offer iron-clad earnings,8-02-2010,231,0,1,0,0,0,0,0,0,0,0,0
The recovery in risk appetite was strong enough to bring heavily weighted base metals stocks into the rally .,-1,holdin,buoyant barclays leads banks higher,18-04-2012,137,1,0,0,0,0,0,0,0,0,0,0
But BASF remains anxious to keep expectations well under control .,-1,holdin,basf the,29-04-2005,709,1,0,0,0,0,0,0,0,0,0,0
"BASF , the world 's largest chemicals group , yesterday set the scene for a showdown over its proposed acquisition of US catalytic converter specialist Engelhard .",-1,holdin,basf stays firm on bid for catalyst group chemicals,2-05-2006,926,1,0,0,0,0,0,0,0,0,0,0
"Growth of these brands has however lagged progress in emerging markets , where sales have risen between 6 per cent and 8 per cent over the past three years .",['SalesVolume'],holdin,unilever to keep laundry brands in europe,29-07-2008,811,0,0,0,0,1,0,0,0,0,0,0
There was finally some interest in the underperforming property sector yesterday as rumours of a stake-building operation swept the market .,-1,holdin,rumours boost british land,10-10-2007,661,1,0,0,0,0,0,0,0,0,0,0
"British Land looks set to build the Leadenhall Building , a 48- storey tower in the City , after seeing signs of a stronger occupier market .",-1,holdin,british land aims ever higher as rents climb real estate,16-08-2006,629,1,0,0,0,0,0,0,0,0,0,0
"Consider BarCap 's performance in fixed income , currencies and commodities , where revenue rose 9 per cent to pound(s)2.4bn from a year ago .",['Turnover'],holdin,barclaysdeutsche,27-04-2012,505,0,0,0,0,0,0,0,0,0,1,0
"However , Mark James , analyst at Collins Stewart , downgraded his recommendation on Vodafone 's stock from "" buy "" to "" hold "" yesterday .",['BuyRating'],holdin,vodafone falls 14% on sales warning,23-07-2008,744,0,0,0,0,0,1,0,0,0,0,0
"That performance fell slightly short of market expectations , and the main reason for the miss was Vodafone 's Spanish business , which disclosed falling revenue and slowing customer growth .",-1,holdin,vodafone falls 14% on sales warning,23-07-2008,744,1,0,0,0,0,0,0,0,0,0,0
"The idea is that by analysing the effectiveness of these progammes , it will develop a method that policymakers can use to improve financial literacy .",-1,holdin,philanthropic project set up to battle ignorance barclays is putting its money and its staff behind,19-06-2006,469,1,0,0,0,0,0,0,0,0,0,0
"Conditions in that region were so dismal that Vodafone was forced to book a pound(s)7.7bn impairment relating to its businesses in Italy and Spain , where service revenues contracted 12.8 per cent and 11.5 per cent , respectively .",-1,holdin,vodafone to reinvest verizon dividend,22-05-2013,614,1,0,0,0,0,0,0,0,0,0,0
"The bonus cap of Unilever 's chief executive will also rise to 150 per cent of base salary in 2005 , up from 100 per cent of base salary currently Key boardroom figures Antony Burgmans , formerly chairman of Unilever NV , became non-executive chairman of both Unilever NV and Unilever plc in the management restructure .",-1,holdin,agm briefing unilever,11-05-2005,420,1,0,0,0,0,0,0,0,0,0,0
"Large provisions to settle mis-selling claims and a charge on the value of its own debt helped drag the bank to a quarterly pre-tax loss of pound(s)47m in the third quarter , down from a profit of pound(s)2.42bn a year earlier .","['QuarterlyResults', 'Profit']",holdin,barclays faces fine of $470m,1-11-2012,53,0,1,0,0,0,0,1,0,0,0,0
There was a responsible new tax code and a sermon to peers on society 's changed attitudes to banking .,-1,holdin,evangelism belies change at barclays,13-02-2013,704,1,0,0,0,0,0,0,0,0,0,0
Unilever to buy Alberto Culver in $3.7bn deal,['MergerAcquisition'],holdin,unilever to buy alberto culver in $3.7bn deal,28-09-2010,726,0,0,0,1,0,0,0,0,0,0,0
Vodafone 's weakness in the UK mobile market was highlighted yesterday in the company 's first-quarter trading update .,['QuarterlyResults'],holdin,vodafone in consolidation call,25-07-2009,910,0,0,0,0,0,0,1,0,0,0,0
"Vittorio Colao , chief executive , said he was "" very comfortable "" with maintaining the stake in Verizon Wireless in reaction to suggestions by analysts that now would be a good time to sell .",-1,holdin,vodafone writes down $5.9bn,14-11-2012,900,1,0,0,0,0,0,0,0,0,0,0
Vodafone ( VOD ),-1,holdin,vodafone (vod),17-11-2012,747,1,0,0,0,0,0,0,0,0,0,0
"Vodafone is therefore getting a revenue fillip as its customers increasingly switch to smartphones , but the challenge is whether this one-off boost can be turned into long term growth .",['Turnover'],holdin,vodafone prepares for smart move,6-11-2010,3,0,0,0,0,0,0,0,0,0,1,0
"Sterling 's weakness against other currencies , chiefly the euro , has enabled the UK company to increase its operating profit guidance by pound(s)500m ( $720m ) to a range of pound(s)11.5bn-pound(s)12bn for 2008-09 .",['Profit'],holdin,rise in full-year guidance boosts vodafone shares,4-02-2009,978,0,1,0,0,0,0,0,0,0,0,0
"To counter this , it is pursuing cost-cutting measures as well as investment in markets such as China .",-1,holdin,basf the,29-04-2005,709,1,0,0,0,0,0,0,0,0,0,0
The sale is the latest in a long string of brand disposals aimed at selling businesses with a combined turnover of EUR2bn .,-1,holdin,unilever hangs on to european laundry list,29-07-2008,461,1,0,0,0,0,0,0,0,0,0,0
"Under the law , BHP had 30 days to make additional representations but Mr Clement made it clear that the government was unlikely to change its mind .",-1,holdin,bhp ends $39bn pursuit of potash,15-11-2010,332,1,0,0,0,0,0,0,0,0,0,0
"Retailers Halfords , off 1.8 per cent at 293 1/4p and DSG International , down 2.7 per cent at 63 1/4p , were marked lower in the wake of the profits warning from TomTom , the Dutch navigation device maker .",['Profit'],holdin,bhp bucks weaker trend on chinese stake-building talk,9-04-2008,883,0,1,0,0,0,0,0,0,0,0,0
"The FTSE 250 advanced 10.2 points , or 0.1 per cent , to 9,785.2.",-1,holdin,british land on solid ground with analyst optimism on reits rules london,19-04-2006,123,1,0,0,0,0,0,0,0,0,0,0
Underlying earnings per share were 11p ( 9p ) .,['Profit'],holdin,british land aims ever higher as rents climb real estate,16-08-2006,629,0,1,0,0,0,0,0,0,0,0,0
"Last August , Ms Marchant moved from UK buying director to become design director for Tesco 's F&F brand in Europe , leading the design process in the UK and central Europe clothing .",-1,holdin,tesco rating cut as it reveals recovery plan,21-04-2012,914,1,0,0,0,0,0,0,0,0,0,0
There was back-slapping all round three years ago when Vodafone paid $11bn for a controlling stake in an Indian operator .,-1,holdin,vodafone,19-05-2010,571,1,0,0,0,0,0,0,0,0,0,0
Tesco to grapple with plan to expand,-1,holdin,tesco to grapple with plan to expand,4-01-2010,205,1,0,0,0,0,0,0,0,0,0,0
"Tesco has invested in sites in northern California , while it has completed work on the structure of a distribution depot in an industrial park in Stockton that it will use to service new northern California stores when they open .",-1,holdin,tesco puts ad muscle behind us business,5-10-2009,961,1,0,0,0,0,0,0,0,0,0,0
"IPIC sold its entire holding of 1.3bn shares on Tuesday , turning a pound(s)3.5bn investment into pound(s)5bn in seven months .",-1,holdin,temasek loses pound(s)500m on barclays stake sale,4-06-2009,611,1,0,0,0,0,0,0,0,0,0,0
"Barclays has indicated that estimates for cost savings and revenue benefits from its planned takeover of ABN Amro were conservative , as a record quarter from its investment banking division helped it report a strong start to the year .","['QuarterlyResults', 'MergerAcquisition']",holdin,barclays raises abn estimates,25-05-2007,107,0,0,0,1,0,0,1,0,0,0,0
The revelation comes only days after Liberty Global further bolstered its role in the European cable market with the acquisition of Virgin Media in the UK .,['MergerAcquisition'],holdin,vodafone weighs bid for german cable group,14-02-2013,581,0,0,0,1,0,0,0,0,0,0,0
Mr Brasher is the third Tesco board director to leave since Mr Clarke succeeded Sir Terry Leahy a year ago in the biggest management transition at Tesco for 14 years .,-1,holdin,brasher to step down at tesco,15-03-2012,242,1,0,0,0,0,0,0,0,0,0,0
DSG 's current market value is close to pound(s)900m .,-1,holdin,vodafone's shine puts miners and oil groups in the dark,3-09-2008,867,1,0,0,0,0,0,0,0,0,0,0
But Argos owner Home Retail Group bounced 10.2 per cent to 227p amid short covering after its holiday sales proved better than feared .,['SalesVolume'],holdin,tesco and dixons lead footsie lower,14-01-2011,647,0,0,0,0,1,0,0,0,0,0,0
"Even though operators have been adding customers at a ferocious rate , the capricious government has allowed more than a dozen of them to set up shop and blocked market consolidation .",-1,holdin,vodafone,19-05-2010,571,1,0,0,0,0,0,0,0,0,0,0
BHP 's decision to expand its buy-back programme from $4.8bn to $10bn comes soon after Rio said it would buy back $5bn of its shares after its full-year pre-tax profits surged by 162 per cent to $20.6bn.,"['Profit', 'ShareRepurchase']",holdin,bhp boosts buy-back plan to $10bn,16-02-2011,18,0,1,0,0,0,0,0,0,1,0,0
"Of this , 60 per cent would come from enhanced revenues and 40 per cent from cost efficiencies in areas like IT .",-1,holdin,barclays plans integration after absa bank deal,10-05-2005,990,1,0,0,0,0,0,0,0,0,0,0
"Rio Tinto was 3.2 per cent higher at pound(s)42.81 , Anglo American took on 2.1 per cent to pound(s)29.58 and Fresnillo added 5.1 per cent to pound(s)14.14.",-1,holdin,british land and hammerson gains mirror wider rally,19-11-2010,911,1,0,0,0,0,0,0,0,0,0,0
"Lamprell , the rig services group , dropped 13.8 per cent to 295p after saying that a shift from refurbishment to construction was hitting profitability .",-1,holdin,british land and hammerson gains mirror wider rally,19-11-2010,911,1,0,0,0,0,0,0,0,0,0,0
* Subscriber figures for first quarter grow by 35 %,"['QuarterlyResults', 'SalesVolume']",holdin,vodafone hints at japan sale,26-07-2005,262,0,0,0,0,1,0,1,0,0,0,0
Moody 's singled out Barclays ' pound(s)10.3bn ( $14.6bn ) commercial mortgage portfolio and its pound(s)23bn portfolio of securities that are insured by monoline credit insurers .,-1,holdin,barclays shares hit by ratings downgrade,3-02-2009,890,1,0,0,0,0,0,0,0,0,0,0
"The settlement underpinned 2011 forecasts , Morgan Stanley said .",-1,holdin,cash call speculation lifts barclays as ftse ends on two-month high,13-10-2011,6,1,0,0,0,0,0,0,0,0,0,0
Analysts voiced fears about the vulnerability of Vodafone 's UK business and Telefonica 's O2 subsidiary after the publication of plans for a joint venture between France Telecom 's Orange UK and Deutsche Telekom 's T-Mobile UK .,-1,holdin,heat on vodafone and telefonica,9-09-2009,480,1,0,0,0,0,0,0,0,0,0,0
A reassuring trading update helped Travis Perkins add 8 per cent to 865p with the builders ' merchant reporting no signs of sales growth weakening .,['SalesVolume'],holdin,cash call speculation lifts barclays as ftse ends on two-month high,13-10-2011,6,0,0,0,0,1,0,0,0,0,0,0
Investors sent shares down 7p or 5 per cent to 139 1/2p .,-1,holdin,vodafone cuts growth guidance,25-05-2005,918,1,0,0,0,0,0,0,0,0,0,0
Jane Croft,-1,holdin,banks start to feel the strain of consumer debt bad debt provisions may have to be raised as hsbc fo,28-05-2005,125,1,0,0,0,0,0,0,0,0,0,0
"A poor performance for Barclays Capital , the cost of the UK bank levy and the likely non-recurrence of a hedging gain seen in the previous quarter meant profit forecasts were too high , Merrill Lynch said .",['Profit'],holdin,barclays threatens weak start to earnings season as ftse 100 stalls,7-02-2012,928,0,1,0,0,0,0,0,0,0,0,0
"On a more speculative tack , J Sainsbury was up 1.5 per cent to 328p as stories circulated that the Qatar Investment Authority might add to its 27 per cent stake .",-1,holdin,vodafone benefits from robust results of us counterpart,28-04-2009,736,1,0,0,0,0,0,0,0,0,0,0
""" They really feel their house is in order so their ability to integrate these deals is great , "" said one person .",-1,holdin,unilever in eur1.3bn deal for sara lee brands,26-09-2009,449,1,0,0,0,0,0,0,0,0,0,0
"Bookies sometimes offer odds for those who want to "" bet without the favourite "" - a wager on who will come second to an obvious winner .",-1,holdin,winning ways at tesco,16-04-2008,609,1,0,0,0,0,0,0,0,0,0,0
"Impairments were likely to show a seasonal rise in the fourth quarter , he said .",-1,holdin,barcap spoiler at the barclays party,11-11-2009,653,1,0,0,0,0,0,0,0,0,0,0
"Deals to acquire credit market assets worth up to $20bn ( pound(s)12.4bn ) were possible , bankers said .",-1,holdin,barclays chief ready to increase risk appetite in search of profit,5-04-2011,60,1,0,0,0,0,0,0,0,0,0,0
Dealers said there had been heavy trading in the closing auction several times this week .,-1,holdin,barclays house broker attempts to calm nerves over abn approach london,23-03-2007,406,1,0,0,0,0,0,0,0,0,0,0
"I think if you compare us with the rest of the retail pack we are pretty well in the middle . """,-1,holdin,bad news on tesco deal forces woolworths to warn on profits,19-01-2006,827,1,0,0,0,0,0,0,0,0,0,0
"Barclays has announced plans for the first public bond from a bank to benefit from UK government guarantees , setting the precedent for other British banks to access the capital markets using the guarantee .",-1,holdin,barclays announces bond plans,22-10-2008,267,1,0,0,0,0,0,0,0,0,0,0
But toughing it out will be expensive .,-1,holdin,vodafone,19-05-2010,571,1,0,0,0,0,0,0,0,0,0,0
Unilever has a slimmed-down management team and a slimmed- down portfolio of businesses now it has sold some underperformers .,-1,holdin,unilever,4-08-2006,962,1,0,0,0,0,0,0,0,0,0,0
Copper output dashed expectations with a 24 per cent drop .,-1,holdin,bhp production hits record levels,20-10-2011,524,1,0,0,0,0,0,0,0,0,0,0
"Several investors were positive about the deal , which gives Hutchison Essar an equity value of Dollars 17.5bn , partly because Mr Sarin said it met Vodafone 's financial criteria on acquisitions .",-1,holdin,vodafone views more emerging market buys,13-02-2007,643,1,0,0,0,0,0,0,0,0,0,0
"On this measurement , its shares are at a discount to NAV of 8 per cent - perhaps as a result of BL 's low yield .",-1,holdin,british land aims ever higher as rents climb real estate,16-08-2006,629,1,0,0,0,0,0,0,0,0,0,0
"Most of BAT 's geographic regions reported higher profits , with the exception of America Pacific , where profits fell Pounds 35m to Pounds 88m as the Canadian market continued to feel the effects of higher duty that has prompted smokers to turn away from premium brands to value cigarettes .",['Profit'],holdin,FT other BAT,05-05-2005,716,0,1,0,0,0,0,0,0,0,0,0
But investing further in the UK retail business while improving its cost/ income ratio represents a challenge .,-1,holdin,barclays,22-02-2006,159,1,0,0,0,0,0,0,0,0,0,0
"On March 31 , Vodafone had net debt of pound(s)25.2bn.",['Debt'],holdin,vodafone reveals plan for pound(s)1bn share buy-back,24-07-2008,30,0,0,0,0,0,0,0,0,0,0,1
The shares were also under selling pressure after they went ex-dividend .,-1,holdin,vodafone eyes eur7bn german deal,13-06-2013,743,1,0,0,0,0,0,0,0,0,0,0
"He held out the possibility of dividend payments resuming some time between 2011 and 2014 , but made no commitment .",-1,holdin,vodafone chief under pressure over european businesses,28-01-2010,757,1,0,0,0,0,0,0,0,0,0,0
They have underperformed the food retailing sector by 3.3 per cent since their recent low in October .,-1,holdin,tesco stays top of growth table *retailer delivers stronger figures than rivals for fifth year runni,18-01-2006,244,1,0,0,0,0,0,0,0,0,0,0
These two businesses helped lift the bank 's overall return on equity to 12.2 per cent excluding the accounting loss on debt and charge for payment protection insurance .,-1,holdin,barclays quarterly profits rise to pound(s)2.4bn,27-04-2012,427,1,0,0,0,0,0,0,0,0,0,0
"Underlying growth including petrol rose 3.8 per cent in the 13 weeks to May 30 , while group sales rose 8.2 per cent in the same period .",['SalesVolume'],holdin,falling food inflation takes a bite out of tesco sales growth,16-06-2010,374,0,0,0,0,1,0,0,0,0,0,0
But analysts expressed concern about the ebitda margin .,-1,holdin,vodafone shares drop on news of uk profits fall,31-03-2007,325,1,0,0,0,0,0,0,0,0,0,0
GlaxoSmithKline gained 1.9 per cent at pound(s)12.84 1/2 and AstraZeneca closed higher by 1.7 per cent at pound(s)30.67 1/2 .,-1,holdin,banks trail ftse amid concern over barclays cash call,20-01-2010,753,1,0,0,0,0,0,0,0,0,0,0
"Rio Tinto gained 7.3 per cent to pound(s)30.64 and BHP Billiton was up 5.3 per cent to pound(s)18.57 , while Xstrata took on 5.7 per cent to 972 1/4 p.",-1,holdin,vodafone lifted by prospect of french and chinese sales,27-05-2010,401,1,0,0,0,0,0,0,0,0,0,0
"Regus , the serviced office provider , climbed 1.3 per cent to 120p after Citigroup started coverage with a "" buy "" rating and 145p target price .","['TargetPrice', 'BuyRating']",holdin,bhp and rio dive as commodities feel weight of debt fears,28-04-2010,103,0,0,0,0,0,1,0,1,0,0,0
HMV Group dipped 1.9 per cent to 114 3/4p as investors responded an after-hours statement on Wednesday from Brandes that appeared to show that the US value investor had reduced its holding in the retailer to8 per cent from 11 per cent .,-1,holdin,barclays house broker attempts to calm nerves over abn approach london,23-03-2007,406,1,0,0,0,0,0,0,0,0,0,0
He wants shareholders to accept a plan to buy back20 per cent of stock at Dollars 45 a share at the annual meeting on June 2 .,-1,holdin,basf makes 'best and final offer' engelhard bid,23-05-2006,368,1,0,0,0,0,0,0,0,0,0,0
BHP shares closed up 1.6 per cent at A$38.60 in Sydney and rose 0.52 per cent to pound(s)15.37 in London .,-1,holdin,buoyant bhp presses rio bid,19-08-2008,590,1,0,0,0,0,0,0,0,0,0,0
"First , Tesco is adding more space , with 600,000 sq ft opened in the first half , helping Tesco lift total sales 11.1 per cent to Pounds 14.6bn.",['SalesVolume'],holdin,"prosperous tesco takes retailing to a new level with sales up 6.6 per cent, sir terry leahy is still",21-09-2005,756,0,0,0,0,1,0,0,0,0,0,0
"Meanwhile , selling Vodafone 's smaller minority stakes may also not be straightforward .",-1,holdin,vodafone seeks to bolster empire via strategic sales,17-09-2010,294,1,0,0,0,0,0,0,0,0,0,0
"He added that "" we welcome foreign investment for all the benefits it brings , including new ideas , sources of capital and job creation "" .",-1,holdin,bhp ends $39bn pursuit of potash,15-11-2010,332,1,0,0,0,0,0,0,0,0,0,0
Unilever bucked its recent depressing trend with a surprise increase in underlying sales growth during the first quarter .,"['QuarterlyResults', 'SalesVolume']",holdin,FT other Unilever,07-05-2005,562,0,0,0,0,1,0,1,0,0,0,0
"However , analysts also expressed considerable scepticism about Barclays ' plans to fold the rest of its African businesses into Absa .",-1,holdin,barclays plans integration after absa bank deal,10-05-2005,990,1,0,0,0,0,0,0,0,0,0,0
Vodafone boosts full-year guidance,-1,holdin,vodafone boosts full-year guidance,9-11-2011,576,1,0,0,0,0,0,0,0,0,0,0
"Its shares firmed up 0.7 per cent to 613 1/2p on talk that the hedge fund manager could be a takeover target for UBS , or another large investment bank , now that it has demerged its brokerage division .",-1,holdin,footsie trips up butpotential in china bolsters barclays,25-07-2007,754,1,0,0,0,0,0,0,0,0,0,0
Barclays shares rose 2.2 per cent to 197p .,-1,holdin,barclays' sa stake poised for expansion,22-08-2012,667,1,0,0,0,0,0,0,0,0,0,0
"Vodafone outperformed a falling London market yesterday on a revival of speculation that it might be a takeover target for Verizon , its US partner .",['MergerAcquisition'],holdin,vodafone outperforms falling ftse amid fresh takeover talk,21-03-2012,829,0,0,0,1,0,0,0,0,0,0,0
The likely consolidation of the British mobile phone industry is causing much discomfort for Vodafone in its home market .,-1,holdin,vodafone set to slip down the rankings in its home market,10-09-2009,297,1,0,0,0,0,0,0,0,0,0,0
"However , we do n't doubt that those seen as undercapitalised holding poor collateral are going to struggle to fund . """,-1,holdin,barclays left battered in ftse's sharpest fall for over two years,19-08-2011,5,1,0,0,0,0,0,0,0,0,0,0
"Tesco taken to court , Page 18 Also the most hated , Page 20",-1,holdin,shoppers 'positive' on tesco's us stores,13-05-2008,219,1,0,0,0,0,0,0,0,0,0,0
Getting a company this big to start innovating like its nimbler competitors may simply prove too much even for the admired Mr Cescau .,-1,holdin,unilever's ticking clock dan roberts lombard,5-05-2006,836,1,0,0,0,0,0,0,0,0,0,0
"Both Barclays Capital , its fast-expanding investment banking arm , and Barclays Global Investors , its asset management business , now generate about 70 per cent of their profits outside the UK .",-1,holdin,barclays rules out acquisitions,22-02-2006,255,1,0,0,0,0,0,0,0,0,0,0
Sports Direct floated at 300p in February .,-1,holdin,footsie trips up butpotential in china bolsters barclays,25-07-2007,754,1,0,0,0,0,0,0,0,0,0,0
A profit warning sent BATM Advanced Communications down 21.3 per cent to 15.75p.,['Profit'],holdin,barclays leads ftse 100 slide following cut in stake,7-06-2013,289,0,1,0,0,0,0,0,0,0,0,0
"Dave McCarthy , analyst at Investec Securities , and a long-term critic of Tesco said : "" There are no green shoots of recovery .",-1,holdin,jury out on tesco blueprint for uk revival,19-04-2012,288,1,0,0,0,0,0,0,0,0,0,0
"Martin Deboo , analyst at Investec , said Unilever should be able to start reducing prices later this year as commodity costs decline .",-1,holdin,unilever buoyed by growth pledge,8-05-2009,28,1,0,0,0,0,0,0,0,0,0,0
""" This [ deal ] increases our growth rate . """,-1,holdin,unilever hangs on to european laundry list,29-07-2008,461,1,0,0,0,0,0,0,0,0,0,0
"Barclays dropped 10.5 per cent to 94.9p after Moody 's said the lender faced "" significant further writedowns "" .",-1,holdin,barclays tumbles 10.5% after moody's cuts debt rating,3-02-2009,528,1,0,0,0,0,0,0,0,0,0,0
Yesterday turnover reached nearly 17m shares - 2.5 times the daily average .,-1,holdin,rumours boost british land,10-10-2007,661,1,0,0,0,0,0,0,0,0,0,0
Footsie holds near high as Reits note rattles British Land,-1,holdin,footsie holds near high as reits note rattles british land,23-03-2010,574,1,0,0,0,0,0,0,0,0,0,0
"Barclays has also sold whole subprime mortgage loans worth pound(s)828m , Alt-A mortgages worth pound(s)750m and commercial mortgages worth pound(s)700m .",-1,holdin,barclays disposes of pound(s)6bn worth of loans,8-08-2008,145,1,0,0,0,0,0,0,0,0,0,0
Analysts said the bank 's 8.1 per cent return on equity number for the three months to March had been flattered by the non-inclusion of the levy hit and a pound(s)190m write-up of the value of Protium assets .,-1,holdin,barclays performs u-turn over protium,28-04-2011,689,1,0,0,0,0,0,0,0,0,0,0
"However , Vodafone Egypt is highly profitable , and generated pound(s)488m of operating cash flow in 2009-10 .",-1,holdin,vodafone in talks to sell egypt stake,21-05-2010,327,1,0,0,0,0,0,0,0,0,0,0
Tesco buys 36 stores in South Korea for Pounds 1bn,-1,holdin,tesco buys 36 stores in south korea for pounds 1bn,15-05-2008,226,1,0,0,0,0,0,0,0,0,0,0
"Lombard & People , Page 20 Biggest movers , Page 31 Small caps report : www.ft.com / equities",-1,holdin,vodafone misses footsie gains after analysts cut earnings expectations,11-05-2011,96,1,0,0,0,0,0,0,0,0,0,0
"Meanwhile , BHP 's cash pile rose from $10.8bn in June 2009 to $12.5bn.",-1,holdin,diversity is linchpin of bhp's plan for potash,26-08-2010,563,1,0,0,0,0,0,0,0,0,0,0
Vodafone yesterday said it would double its dividend and further increase its share buyback programme in a firm sign that the mobile operator has listened to shareholder demands to raise its cash payouts .,"['Dividend', 'ShareRepurchase']",holdin,vodafone to double dividend and increase share buyback,17-11-2004,454,0,0,1,0,0,0,0,0,1,0,0
"Demand was more than three times the amount on offer , signalling growing investor confidence in bank debt .",-1,holdin,temasek loses pound(s)500m on barclays stake sale,4-06-2009,611,1,0,0,0,0,0,0,0,0,0,0
His willingness to raise the pound(s)1bn target came after Vodafone 's 2008-09 results highlighted revenue weakness .,['Turnover'],holdin,weak revenues prompt vodafone to heighten cost-cutting efforts,20-05-2009,439,0,0,0,0,0,0,0,0,0,1,0
"The FTSE 100 mobile operator yesterday said it was "" in the very early stages of evaluating the merits of a potential offer for C&W Worldwide "" but added that there was no certainty of an offer being made .",-1,holdin,vodafone confirms talks with c&ww,14-02-2012,67,1,0,0,0,0,0,0,0,0,0,0
"Friday 's fall would have been sharper without Vodafone , whose 4 per cent gain to 172p lent 13 points to the FTSE 100 .",-1,holdin,carphone warehouse and vodafone defy wider fall,30-07-2011,555,1,0,0,0,0,0,0,0,0,0,0
"Reckitt Benckiser grew at twice that rate in the first half , and Nestle is running at about a 7.5 per cent pace .",-1,holdin,unilever restructures lex,3-08-2007,587,1,0,0,0,0,0,0,0,0,0,0
That offers some comfort that the money is being spent wisely .,-1,holdin,unilever,10-02-2006,527,1,0,0,0,0,0,0,0,0,0,0
